JUGADOR;EQUIPO;PJ;PI;MIN;GOL;ASIS.;TIROS;TIRO_ARCO;ATAJ;VAY_INV;TARJ_AM;TARJ_ROJ;FAL_COM;FAL_REC;OFFSIDE
Aarón Escandell;Granada CF;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Abdón Prats;Mallorca;10;0;132;0;0;6;3;0;0;1;0;4;1;0
Abdul Rahman Baba;Mallorca;2;2;109;0;0;0;0;0;0;1;0;1;0;0
Adnan Januzaj;Real Sociedad;11;5;442;0;3;8;3;0;0;1;0;7;16;1
Adrià Pedrosa;Español;11;8;735;1;0;11;5;0;0;1;0;4;11;1
Adrián López;Osasuna;12;7;627;0;0;5;3;0;0;0;0;3;2;2
Adrián Marín;Alavés;4;4;338;0;0;1;0;0;0;0;0;10;1;0
Aihen Muñoz;Real Sociedad;3;3;265;0;0;0;0;0;0;0;0;0;2;0
Aïssa Mandi;Real Betis;15;15;1318;0;0;6;1;0;0;6;0;13;9;2
Aitor Fernández;Levante;19;19;1710;0;0;0;0;84;2;2;0;0;2;0
Aitor Ruibal;Leganés;7;2;190;0;0;0;0;0;0;1;0;5;2;1
Alberto Moreno;Villarreal;4;3;299;0;0;3;0;0;0;1;0;3;2;0
Alberto Rodríguez;Alavés;2;0;10;0;0;0;0;0;0;0;0;1;0;0
Aleix Febas;Mallorca;18;15;1190;0;3;5;3;0;0;3;0;12;32;0
Aleix Vidal;Alavés;19;17;1494;1;3;11;5;0;0;3;0;15;29;2
Alejandro Martínez Sánchez;Granada CF;1;0;14;0;0;1;0;0;0;1;0;0;0;0
Alejandro Pozo;Sevilla;3;0;34;0;0;0;0;0;0;0;0;0;0;0
Alejandro Remiro;Real Sociedad;12;12;1080;0;0;0;0;29;3;0;0;0;3;0
Aleksandar Trajkovski;Mallorca;7;0;147;0;0;2;0;0;0;0;0;4;4;0
Aleksander Sedlar;Mallorca;2;2;152;0;0;0;0;0;0;1;0;2;3;0
Alexánder Alegría Moreno;Mallorca;6;0;103;0;0;0;0;0;0;0;0;5;4;1
Alexander Isak;Real Sociedad;19;3;579;4;0;15;9;0;0;2;0;9;4;9
Alexandre Moreno Lopera;Real Betis;15;12;1084;0;4;10;6;0;0;1;0;12;20;3
Alfonso Pedraza;Real Betis;11;9;783;0;0;5;2;0;0;1;0;10;12;1
Allan Romeo Nyom;Getafe;18;16;1284;1;0;3;1;0;0;6;0;31;10;2
Alphonse Areola;Real Madrid;3;3;270;0;0;0;0;4;1;1;0;1;0;0
Álvaro Morata;Atlético de Madrid;16;13;1156;7;1;37;20;0;0;3;1;35;37;25
Álvaro Odriozola;Real Madrid;4;4;344;0;1;0;0;0;0;1;1;7;4;0
Álvaro Vadillo;Granada CF;17;11;952;3;1;9;5;0;0;0;0;8;15;4
Amath Ndiaye;Getafe;1;0;9;0;0;0;0;0;0;0;0;1;1;0
Anaitz Arbilla;Eibar;14;14;1257;1;0;9;1;0;0;5;0;14;7;0
Ander Barrenetxea;Real Sociedad;7;0;42;0;0;0;0;0;0;0;0;4;1;0
Ander Capa;Athletic Club;18;18;1594;2;4;6;4;0;0;6;0;25;11;3
Ander Guevara;Real Sociedad;8;7;554;0;0;2;0;0;0;2;0;14;2;0
Ander Iturraspe;Español;2;0;37;0;0;0;0;0;0;0;0;2;0;0
Andoni Gorosabel;Real Sociedad;4;3;283;0;0;1;1;0;0;0;0;3;5;0
André Felipe Grandi;Leganés;0;0;0;0;0;0;0;0;0;0;0;0;0;0
André-Frank Zambo Anguissa;Villarreal;18;17;1494;1;0;15;6;0;0;4;0;24;23;0
Andrei Ratiu;Villarreal;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Andrés Fernández;Villarreal;3;3;270;0;0;0;0;9;0;1;0;1;1;0
Andrés Guardado;Real Betis;15;13;1148;0;1;6;3;0;0;6;0;19;14;0
Andrés Prieto;Español;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Andriy Lunin;Real Valladolid;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Ángel Martín Correa;Atlético de Madrid;14;8;822;3;5;16;9;0;0;5;0;13;13;5
Ángel Montoro;Granada CF;12;11;883;1;4;6;4;0;0;5;0;21;15;0
Ángel Rodríguez;Getafe;18;6;887;8;1;26;12;0;0;3;0;33;20;19
Anssumane Fati;Barcelona;10;3;333;2;1;10;5;0;0;1;0;6;5;1
Ante Budimir;Mallorca;18;18;1453;6;0;23;8;0;0;5;0;42;39;12
Antoine Griezmann;Barcelona;18;17;1470;7;4;23;17;0;0;2;0;9;11;10
Antonio Adán;Atlético de Madrid;1;0;24;0;0;0;0;1;0;0;0;0;0;0
Antonio Barragán;Real Betis;5;3;284;0;1;0;0;0;0;1;0;3;5;0
Antonio García Aranda;Levante;7;7;630;0;1;1;0;0;0;0;0;4;9;3
Antonio Jesús Regal Angulo;Real Valladolid;6;4;338;0;0;0;0;0;0;1;0;2;4;1
Antonio Moya;Atlético de Madrid;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Antonio Raíllo;Mallorca;15;15;1317;0;0;7;1;0;0;2;1;14;2;2
Aridane Hernández;Osasuna;14;14;1260;1;0;4;1;0;0;3;0;6;5;0
Aritz Aduriz;Athletic Club;10;0;138;1;0;2;2;0;0;2;0;6;1;0
Aritz Arambarri;Real Sociedad;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Aritz Castro;Alavés;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Aritz Elustondo;Real Sociedad;8;7;555;0;0;0;0;0;0;0;0;2;2;0
Arthur Henrique Ramos de Oliveira Melo;Barcelona;9;8;655;2;3;4;3;0;0;1;0;6;24;1
Arturo Erasmo Vidal Pardo;Barcelona;15;4;569;6;0;8;6;0;0;2;0;18;8;4
Asier Illarramendi;Real Sociedad;3;3;217;0;0;1;0;0;0;0;0;2;3;0
Asier Villalibre;Athletic Club;4;0;66;0;0;1;0;0;0;0;0;2;3;3
Benzema;Real Madrid;18;18;1565;12;5;66;35;0;0;0;0;10;8;9
Beñat;Athletic Club;9;2;318;0;0;4;2;0;0;0;0;2;2;0
Bernardo Espinosa;Español;11;11;990;2;0;8;4;0;0;3;0;14;5;1
Borja Iglesias;Real Betis;18;10;967;2;2;15;5;0;0;1;0;16;11;9
Borja Mayoral;Levante;16;11;989;4;1;17;10;0;0;1;0;7;12;6
Borja Sainz;Alavés;8;2;254;0;0;5;2;0;0;1;0;7;3;1
Brahim Díaz;Real Madrid;3;0;23;0;0;0;0;0;0;0;0;0;4;0
Brais Méndez;Celta de Vigo;17;9;863;0;1;9;5;0;0;2;0;19;24;3
Bruno González;Getafe;2;2;180;0;0;0;0;0;0;1;0;6;2;1
Bryan Gil;Sevilla;2;0;63;0;0;0;0;0;0;2;0;1;0;0
Burgui;Alavés;1;0;4;0;0;0;0;0;0;0;0;0;0;0
Carles Aleñá;Real Betis;5;2;179;0;0;2;1;0;0;0;0;3;2;0
Carles Pérez;Barcelona;9;5;462;1;2;9;6;0;0;0;0;3;3;2
Carlos Bacca;Villarreal;10;2;241;0;0;5;2;0;0;1;0;5;0;3
Carlos Clerc;Levante;12;12;1080;0;1;2;0;0;0;4;0;13;13;1
Carlos Fernández;Granada CF;17;8;961;3;1;13;6;0;0;4;0;30;17;2
Carlos Henrique Casimiro;Real Madrid;17;17;1500;1;1;15;5;0;0;5;0;42;29;1
Carlos Marín;Real Betis;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Carlos Neva;Granada CF;12;11;1001;0;0;2;1;0;0;1;0;3;11;0
Carlos Soler;Valencia CF;10;8;717;1;0;5;2;0;0;3;0;7;8;1
Carvajal Carvajal;Real Madrid;16;16;1440;1;4;10;6;0;0;4;0;20;13;2
